
ALFA ROMEO	Car model	Year	Bolt pattern	Offset	Center bore	Stud size
ALFA ROMEO	145, 146	94-00	4/98	40	58,1	B 12x1,25
ALFA ROMEO	147	00-10	5/98	40	58,1	B 12x1,25
ALFA ROMEO	155	92-98	4/98	40	58,1	B 12x1,25
ALFA ROMEO	156	96-07	5/98	40	58,1	B 12x1,25
ALFA ROMEO	159	05-12	5/110	42	65,1	B 14x1,50
ALFA ROMEO	164 (4-bolt)	87-98	4/98	40	58,1	B 12x1,25
ALFA ROMEO	164 (5-bolt)	87-98	5/98	40	58,1	B 12x1,25
ALFA ROMEO	166	99-07	5/108	42	58,1	B 12x1,25
ALFA ROMEO	33	83-95	4/98	40	58,1	N 12x1,25
ALFA ROMEO	4C, 4C Spider	13-17	5/98	38 front, 44 rear	58,1	B 12x1,25
ALFA ROMEO	75 (4-bolt)	85-92	4/98	45	58,6	N 12x1,25
ALFA ROMEO	75 (5-bolt)	85-92	5/98	45	58,6	N 12x1,25
ALFA ROMEO	90 (4-bolt)	84-87	4/98	45	58,6	N 12x1,25
ALFA ROMEO	90 (5-bolt)	84-87	5/98	45	58,6	N 12x1,25
ALFA ROMEO	Alfasud	71-89	4/98	45	58,1	N 12x1,25
ALFA ROMEO	Alfetta	72-87	4/98	45	58,6	N 12x1,25
ALFA ROMEO	Brera, Spider	05-10	5/110	42	65,1	B 14x1,50
ALFA ROMEO	Giulia	16-17	5/110	39	63,4	N 14x1,50
ALFA ROMEO	Giulietta	10-16	5/110	42	65,1	B 12x1,25
ALFA ROMEO	GT Coupé	03-10	5/98	35	58,1	B 12x1,25
ALFA ROMEO	GTV, Spider	95-06	5/98	35	58,1	B 12x1,25
ALFA ROMEO	MiTo	08-16	4/98	40	58,1	B 12x1,25
ALFA ROMEO	Montreal	70-77	4/108	23	63,4	B 12x1,50
ALFA ROMEO	Sprint	76-89	4/98	45	58,1	N 12x1,25
ALFA ROMEO	Stelvio SUV	17-19	5/110	35	65,1	B 14x1,50
AMC	Car model	Year	Bolt pattern	Offset	Center bore	Stud size
AMC	Javelin	67-74	5/114,3	12	70,3	N 1/2" (UNF 20)
ASTON MARTIN	Car model	Year	Bolt pattern	Offset	Center bore	Stud size
ASTON MARTIN	DB11	16-16	5/114,3	35	68,1	B 14x2,00
ASTON MARTIN	DB7 / Vantage	94-04	5/120,65	32	74,1	N 1/2"
ASTON MARTIN	DB9	04-12	5/114,3	50	68,1	B 14x2,00
ASTON MARTIN	DBS (V12)	07-12	5/114,3	42	68,1	B 14x2,00
ASTON MARTIN	Lagonda	76-90	5/120,65	30	74,1	N 1/2"
ASTON MARTIN	Rapide	10-16	5/128	42	68,1	B 14x2,00
ASTON MARTIN	Vanquish	01-07	5/108	45	63,4	N 12x1,50
ASTON MARTIN	Vanquish	12-16	5/128	42	75,1	B 14x2,00
ASTON MARTIN	Vantage (V8, V12)	05-16	5/114,3	50	68,1	B 14x2,00
ASTON MARTIN	Virage	88-96	5/120,65	30	74,1	N 1/2"
ASTON MARTIN	Virage	11-12	5/114,3	42	68,1	B 14x2,00
AUDI	Car model	Year	Bolt pattern	Offset	Center bore	Stud size
AUDI	100 C1	68-76	4/108	40	57,1	B 14x1,50
AUDI	100 C2	76-82	4/108	40	57,1	B 14x1,50
AUDI	100 C3	82-91	5/112	42	57,1	B 14x1,50
AUDI	100 C4	91-94	5/112	42	57,1	B 14x1,50
AUDI	200	79-91	5/112	45	57,1	B 14x1,50
AUDI	80 B2	78-86	4/100	45	57,1	B 12x1,50
AUDI	80 B3-B4	86-96	4/108	45	57,1	B 14x1,50
AUDI	90	86-94	4/108	45	57,1	B 14x1,50
AUDI	90 Quattro	86-91	4/108	45	57,1	B 14x1,50
AUDI	A1	10-16	5/100	34	57,1	B 14x1,50
AUDI	A2	00-05	5/100	34	57,1	B 14x1,50
AUDI	A2 1,2 TDI	01-05	4/100	45	57,1	B 12x1,50
AUDI	A3	96-03	5/100	38	57,1	B 14x1,50
AUDI	A3	03-13	5/112	50	57,1	B 14x1,50
AUDI	A3	13-17	5/112	48	57,1	B 14x1,50
AUDI	A4 B5	95-01	5/112	45	57,1	B 14x1,50
AUDI	A4 B6-B7	01-08	5/112	45	57,1	B 14x1,50
AUDI	A4 B8-B9	08-16	5/112	45	66,6	B 14x1,50
AUDI	A5	07-16	5/112	29	66,6	B 14x1,50
AUDI	A6 C4	94-97	5/112	42	57,1	B 14x1,50
AUDI	A6 C5	97-04	5/112	42	57,1	B 14x1,50
AUDI	A6 C6	04-11	5/112	42	57,1	B 14x1,50
AUDI	A6 C7	11-16	5/112	42	66,6	B 14x1,50
AUDI	A7 (Gen 1)	10-17	5/112	32	66,6	B 14x1,50
AUDI	A7 (Gen 2)	18-19	5/112	30	66,6	B 14x1,50
AUDI	A8 D2	94-02	5/112	42	57,1	B 14x1,50
AUDI	A8 D3	02-09	5/112	42	57,1	B 14x1,50
AUDI	A8 D4	10-16	5/112	42	66,6	B 14x1,50
AUDI	Coupé with small brakes	80-88	4/100	45	57,1	B 14x1,50
AUDI	Coupé with large brakes	80-88	4/108	45	57,1	B 14x1,50
AUDI	Coupé Quattro	80-88	4/108	45	57,1	B 14x1,50
AUDI	E-tron Quattro	19-22	5/112	38	66,6	B 14x1,50
AUDI	E-tron GT Quattro	20-21	5/130	54	71,6	B 14x1,50
AUDI	Q2	16-18	5/112	48	57,1	B 14x1,50
AUDI	Q3	12-16	5/112	43	57,1	B 14x1,50
AUDI	Q5	09-19	5/112	39	66,5	B 14x1,50
AUDI	Q7	06-14	5/130	55	71,6	B 14x1,50
AUDI	Q7	15-19	5/112	30	66,5	B 14x1,50
AUDI	Quattro/Ur-Quattro	80-91	5/112	25	57,1	B 14x1,50
AUDI	R8	06-15	5/112	42	57,1	B 14x1,50
AUDI	R8	16-16	5/112	42	57,1	B 14x1,50
AUDI	RS2	94-95	5/130	45	71,6	B 14x1,50
AUDI	RS3	11-18	5/112	50	57,1	B 14x1,50
AUDI	RS4	00-01	5/112	45	57,1	B 14x1,50
AUDI	RS4	06-08	5/112	45	57,1	B 14x1,50
AUDI	RS4	12-15	5/112	45	66,6	B 14x1,50
AUDI	RS5	10-16	5/112	29	66,6	B 14x1,50
AUDI	RS6	02-04	5/112	29	57,1	B 14x1,50
AUDI	RS6	08-10	5/112	29	57,1	B 14x1,50
AUDI	RS6	13-16	5/112	25	66,6	B 14x1,50
AUDI	S2	91-96	5/112	40	57,1	B 14x1,50
AUDI	S3	99-03	5/100	31	57,1	B 14x1,50
AUDI	S3	06-12	5/112	50	57,1	B 14x1,50
AUDI	S3	13-16	5/112	50	57,1	B 14x1,50
AUDI	S4	91-94	5/112	45	57,1	B 14x1,50
AUDI	S4	97-02	5/112	45	57,1	B 14x1,50
AUDI	S4	03-05	5/112	45	57,1	B 14x1,50
AUDI	S4	05-08	5/112	45	57,1	B 14x1,50
AUDI	S4	09-16	5/112	45	66,6	B 14x1,50
AUDI	S5	07-17	5/112	29	66,6	B 14x1,50
AUDI	S6	94-97	5/112	42	57,1	B 14x1,50
AUDI	S6	99-03	5/112	42	57,1	B 14x1,50
AUDI	S6	06-11	5/112	42	57,1	B 14x1,50
AUDI	S6	12-16	5/112	42	66,6	B 14x1,50
AUDI	S7	12-16	5/112	32	66,6	B 14x1,50
AUDI	S8	96-02	5/112	42	57,1	B 14x1,50
AUDI	S8	06-09	5/112	42	57,1	B 14x1,50
AUDI	S8	12-16	5/112	42	66,6	B 14x1,50
AUDI	TT	99-06	5/100	31	57,1	B 14x1,50
AUDI	TT	06-14	5/112	50	57,1	B 14x1,50
AUDI	TT	14-16	5/112	50	57,1	B 14x1,50
AUDI	V8	88-94	5/112	40	57,1	B 14x1,50
BENTLEY	Car model	Year	Bolt pattern	Offset	Center bore	Stud size
BENTLEY	Arnage	98-09	5/120	55	72,6	B 14x1,50
BENTLEY	Azure (Gen 1)	95-03	5/120	55	72,6	B 14x1,50
BENTLEY	Azure (Gen 2)	06-09	5/120	55	72,6	B 14x1,50
BENTLEY	Brooklands (Gen 2)	08-11	5/160	60	114,5	B 1/2"
BENTLEY	Continental Flying Spur (Gen 1-2)	05-16	5/112	43	57,1	B 14x1,50
BENTLEY	Continental GT (Gen 1-2)	03-16	5/112	43	57,1	B 14x1,50
BENTLEY	Continental GTC (Gen 1-2)	06-16	5/112	43	57,1	B 14x1,50
BENTLEY	Continental R, T	91-03	5/112	43	57,1	B 14x1,50
BENTLEY	Mulsanne	10-16	5/112	42	57,1	B 14x1,50
BMW	Car model	Year	Bolt pattern	Offset	Center bore	Stud size
BMW	1600-2002	69-75	4/100	32	57,1	B 12x1,50
BMW	1-series E87/E81/E82/E88	04-13	5/120	42	72,6	B 12x1,50
BMW	1-series F20/F21	12-18	5/120	42	72,6	B 12x1,50
BMW	2002 Turbo	73-74	4/100	18	57,1	B 12x1,50
BMW	2500/2800/3.0S E3/E9	68-77	5/120	22	72,6	B 12x1,50
BMW	2-series Coupé/Cab F22	14-16	5/120	42	72,6	B 14x1,50
BMW	2-series Tourer F45/F46	14-16	5/112	52	66,6	B 14x1,50
BMW	3-series E21	75-82	4/100	29	57,1	B 12x1,50
BMW	3-series E30	82-90	4/100	35	57,1	B 12x1,50
BMW	3-series E36	91-98	5/120	42	72,6	B 12x1,50
BMW	3-series E46	98-05	5/120	42	72,6	B 12x1,50
BMW	3-series E90-E93	05-13	5/120	34	72,6	B 12x1,50
BMW	3-series F30/F31	12-16	5/120	34	72,6	B 14x1,50
BMW	4-serie F32/F33/F36	14-18	5/120	34	72,6	B 14x1,50
BMW	5-series E12	72-81	5/120	22	72,6	B 12x1,50
BMW	5-series E28	82-87	5/120	22	72,6	B 12x1,50
BMW	5-series E34	88-95	5/120	20	72,6	B 12x1,50
BMW	5-series E39	96-03	5/120	25	74,1	B 12x1,50
BMW	5-series E60/E61	04-09	5/120	25	72,6	B 12x1,50
BMW	5-series E60/E61 xDrive	04-09	5/120	42	72,6	B 12x1,50
BMW	5-series F10/F11/F07	10-17	5/120	25	72,6	B 14x1,25
BMW	5-series G30/G31	17-18	5/112	26	66,5	B 14x1,25
BMW	6-series E24	76-90	5/120	22	72,6	B 12x1,50
BMW	6-series E63/E64	04-10	5/120	17	72,6	B 12x1,50
BMW	6-series F06/F12/F13/F14	11-16	5/120	32	72,6	B 14x1,50
BMW	7-series E23	77-86	5/120	22	72,6	B 12x1,50
BMW	7-series E32	86-94	5/120	20	72,6	B 12x1,50
BMW	7-series E38	94-01	5/120	20	72,6	B 12x1,50
BMW	7-series E65/E66	02-08	5/120	20	72,6	B 12x1,50
BMW	7-series F01/F02	09-15	5/120	20	72,6	B 12x1,50
BMW	7-series G11/G12	16-18	5/112	30 front 40 rear	66,5	B 14x1,25
BMW	8-series	90-99	5/120	20	72,6	B 12x1,50
BMW	i3	14-17	5/112	43 (The car has thin wheels!)	66,7	N 14x1,25
BMW	i8	14-17	5/112	39	66,7	B 14x1,25
BMW	X1 E84	09-15	5/120	32	72,6	B 12x1,50
BMW	X1 F48	16-19	5/112	48	66,6	B 14x1,25
BMW	X2 F30	18-20	5/112	52	66,6	B 14x1,25
BMW	X3 E83	03-10	5/120	46	72,6	B 14x1,50
BMW	X3 F25	11-17	5/120	46	72,6	B 14x1,50
BMW	X3 G01	17-20	5/112	28	66,6	B 14x1,50
BMW	X4 F26	14-18	5/120	42	72,6	B 14x1,50
BMW	X5 E53	00-06	5/120	40	72,6	B 14x1,50
BMW	X5 E70	07-13	5/120	46	74,1	B 14x1,25
BMW	X5 E70 xDrive	07-13	5/120	46	74,1	B 14x1,50
BMW	X5 F15	14-16	5/120	46	74,1	B 14x1,25
BMW	X6 E71	09-14	5/120	46	74,1	B 14x1,25
BMW	X6 F16	15-16	5/120	46	74,1	B 14x1,25
BMW	Z3	95-02	5/120	42	72,6	B 12x1,50
BMW	Z4 E85/E86	02-08	5/120	47	72,6	B 12x1,50
BMW	Z4 E89	09-16	5/120	30 front, 40 rear	72,6	B 12x1,50
BMW	Z8 E52	00-03	5/120	20	72,6	B 12x1,50
BUICK	Car model	Year	Bolt pattern	Offset	Center bore	Stud size
BUICK	Cascada	13-16	5/115	41	70,3	N 12x1,50
BUICK	Century (Gen 5)	82-90	5/100	42	57,1	N 12x1,50
BUICK	Century (Gen 5-6)	90-05	5/115	45	70,3	N 12x1,50
BUICK	Electra (Gen 3-5)	64-84	5/127	12	78,3	N 1/2"-RH
